Season,Sector,Category,Crop,QueryType,QueryText,KccAns,StateName,DistrictName,BlockName,CreatedOn,
RABI,HORTICULTURE,Medicinal and Aromatic Plants,Caleus,Medicinal and Aromatic Plants,Asking about Aloe vera suckers availability information,Recommended for TNAU Medicinal Dept. contact no. 0422 â 6611365,TAMILNADU,TIRUPUR,Kangyam,2017-12-02T09:31:11.78,
RABI,HORTICULTURE,Vegetables,Watermelon,Nutrient Management,watermelon top dressing fertilizer management,Recommended for apply urea 44kg / ac,TAMILNADU,TIRUPUR,Udumalaipettai,2017-12-02T09:37:43.627,
RABI,AGRICULTURE,Others,Others,Weather,asking about Tirupur district today weather Report,Recommended for Tirupur district today weather Report : moderate Rain fall (7.6 â 35.5 mm),TAMILNADU,TIRUPUR,Avanashi,2017-12-02T10:31:17.477,
NA,AGRICULTURE,Others,Others,Training and Exposure Visits,asking about sericulture training information,Recommended TNAU sericulture dept. contact no. 0422 - 6611296,TAMILNADU,TIRUPUR,Kangyam,2017-12-02T10:35:43.483,
RABI,HORTICULTURE,Plantation Crops,Coconut,Market Information,asking about copra market rate,Recommended for copra market rate Rs 10800-12500/quintal,TAMILNADU,TIRUPUR,Dharapuram,2017-12-02T10:48:49.71,
RABI,AGRICULTURE,Others,Others,Weather,asking about avinasi weather report,recommended for today have light rain,TAMILNADU,TIRUPUR,Avanashi,2017-12-02T12:04:10.07,
RABI,AGRICULTURE,Others,Others,Weather,asking about Tirupur district today weather Report,Recommended for Tirupur district today weather Report : Light Rain fall (2.5 â 7.5 mm),TAMILNADU,TIRUPUR,Avanashi,2017-12-02T12:48:16.623,
RABI,AGRICULTURE,Others,Others,Weather,asking about Tirupur today weather Report,Recommended for Tirupur today weather Report : Light Rain fall (2.5 â 7.5 mm),TAMILNADU,TIRUPUR,Avanashi,2017-12-02T13:29:25.487,
RABI,AGRICULTURE,Cereals,Paddy (Dhan),Plant Protection,Asking about stem borer management in paddy,Recommended for spray CartapHydrochloride 2 gram / liter of water,TAMILNADU,TIRUPUR,Madathukulam,2017-12-02T13:30:24.377,
RABI,HORTICULTURE,Plantation Crops,Coconut,Nutrient Management,Asking about Bio-fertilizer recommendation for coconut,"Recommended for Mix 50 g of Azospirillum, 50 g of Phosphobacteria ( or ) 100 g Azophos and 50 g of VAM in sufficient quantity of compost or FYM and apply near feeding roots once in 6 months / palm starting from planting. Donât mix with chemical fertilizers and pesticides",TAMILNADU,TIRUPUR,Dharapuram,2017-12-02T14:22:11.297,
RABI,AGRICULTURE,Others,Others,Market Information,asking about market price for cocoon,recommended for the cocoon price : Rs 453-538 /kg,TAMILNADU,TIRUPUR,Dharapuram,2017-12-02T15:01:31.487,
RABI,AGRICULTURE,Others,Others,Seeds,Asking about Coimbatore kvk contact,"Recommended for contact to Prog.Coordinator,Sri Avinashilingam KVK,Vivekanandapuram-641113,Karamadai Block,Coimbatore District. phone:04254-294325",TAMILNADU,TIRUPUR,Palladam,2017-12-02T16:38:56.853,
RABI,HORTICULTURE,Fruits,Papaya,Nutrient Management,Asked about Papaya top dressing fertilizer management,recommended for apply 100 gm urea + 300 gm super phosphate + 80 gm potash / plant at bimonthly intervels,TAMILNADU,TIRUPUR,Madathukulam,2017-12-02T17:07:31.82,
RABI,HORTICULTURE,Vegetables,Onion,Nutrient Management,asking about top dressing for onion,recommended for apply urea 27kg+potash 15kg+MN mixture 5kg/ac,TAMILNADU,TIRUPUR,Tirrpur,2017-12-02T18:05:05.847,
RABI,HORTICULTURE,Plantation Crops,Coconut,Market Information,Asking about copra market price,recommended for the copra price :Rs 11300-11600/quintal,TAMILNADU,TIRUPUR,Udumalaipettai,2017-12-02T18:20:45.547,
RABI,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Asked about coconut fertilizer management,recommended for DAP 700 gm + 950 gm urea + 2 kg potash + micro nutrient 1 kg + neem cake 2 kg + borax 100 gm + fym 50 kg /year,TAMILNADU,TIRUPUR,Kangyam,2017-12-02T18:23:03.29,
RABI,HORTICULTURE,Plantation Crops,Coconut,Nutrient Management,Asked about coconut fertilizer management,recommended for DAP 700 gm + 950 gm urea + 2 kg potash + micro nutrient 1 kg + neem cake 2 kg + borax 100 gm + fym 50 kg /year,TAMILNADU,TIRUPUR,Kangyam,2017-12-02T18:25:21.45,
RABI,AGRICULTURE,Others,Others,Weather,Asked about TIRUPUR weather report information,recommended for today and tommarrow cloudy weather and possibility of less rainfall,TAMILNADU,TIRUPUR,Udumalaipettai,2017-12-02T20:31:59.903,
RABI,AGRICULTURE,Cereals,Paddy (Dhan),Weather,asking about tiruppur weather Report,Recommended for tiruppur today weather Report : very Light Rain fall (0.1 â 2.4 mm),TAMILNADU,TIRUPUR,Kangyam,2017-12-03T10:11:09.943,
RABI,HORTICULTURE,Vegetables,Tomato,Nutrient Management,Asked about tomato top dressing fertilizer management,recommended for apply 43 kg urea + 32 kg potash / acre on 30th 45th 60th day,TAMILNADU,TIRUPUR,Udumalaipettai,2017-12-03T10:21:02.043,
RABI,AGRICULTURE,Others,Others,Weather,Asking about weather report for Tirupur district,Recommended for today having cloudy weather and there is chances of light rainfall.,TAMILNADU,TIRUPUR,Dharapuram,2017-12-03T10:43:49.067,
RABI,ANIMAL HUSBANDRY,Animal,POULTRY FARM,Livestock Products Processing and Packaging,Tirupur District Veterinary University Training and Research Centre contact number,Recommended for Tirupur District Veterinary University Training and Research Centre contact number phone :0421-2248524,TAMILNADU,TIRUPUR,Avanashi,2017-12-03T11:43:26.133,
RABI,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,Asking about Suitable paddy varieties for Navarai season,"Recommended for ADT 36, ADT 39, ASD 16, ASD 18, MDU 5, CO 47,CORH 3, ADT 43, ADT (R) 45.",TAMILNADU,TIRUPUR,Dharapuram,2017-12-03T12:22:37.63,
RABI,AGRICULTURE,Others,Others,Weather,asking about weather report for Tirupur district,Recommended for weather report Tirupur district have light rain,TAMILNADU,TIRUPUR,Madathukulam,2017-12-03T12:27:22.947,
RABI,AGRICULTURE,Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Plant Protection,Asking about cutworm in Bengal gram,Recommended to spray Chlorpyrifos 2ml + teepol 1ml + neemoil 3ml/lit of water,TAMILNADU,TIRUPUR,Udumalaipettai,2017-12-03T12:41:52.06,
RABI,AGRICULTURE,Others,Others,Weather,asking about tiruppur weather report,Recommended for tiruppur Today No Rain Fall (0.0 mm),TAMILNADU,TIRUPUR,Udumalaipettai,2017-12-03T13:15:08.807,
RABI,AGRICULTURE,Others,Others,Weather,Asking about weather report for Avinasi,Recommended for today having cloudy weather and there is chances of light rainfall.,TAMILNADU,TIRUPUR,Avanashi,2017-12-03T13:23:45.293,
RABI,AGRICULTURE,Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Varieties,Asking about suitable varieties for Bengalgram (November month),"Recommended for CO 3,CO 4 are suitable",TAMILNADU,TIRUPUR,Pongalur,2017-12-03T14:47:44.827,
RABI,AGRICULTURE,Others,Others,Weather,Asking about Weather forecasting for Thiruppur district,"Recommended for Today and tomorrow having cloudy weather and Possibility of light to medium Rainfall chances (Temperature will be 26 degree Celsius (Â°C), Precipitation Chances (80% ) , Humidity level will be (82%)Wind speed of 24 km / hr.",TAMILNADU,TIRUPUR,Udumalaipettai,2017-12-03T14:51:07.83,
RABI,AGRICULTURE,Others,Others,Water Management,Asking about Public Works Department phone number,Recommended for phone number:0422-2300339,TAMILNADU,TIRUPUR,Madathukulam,2017-12-03T15:34:43.473,
RABI,HORTICULTURE,Vegetables,Drum Stick,Seeds and Planting Material,Asking about Horticulture department phone number,Recommended for phone number:0421-2213270/ 0421-2216565,TAMILNADU,TIRUPUR,Pongalur,2017-12-03T15:53:12.297,
NA,AGRICULTURE,Others,Others,Weather,asking about Erode district weather Report,Recommended for Erode district today weather Report : very Light Rain fall (0.1 â 2.4 mm),TAMILNADU,TIRUPUR,Avanashi,2017-12-03T16:22:40.457,
RABI,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,asking about paddy nutrient management,recommended for spray panchakavya - 30 ml/ lit of water,TAMILNADU,TIRUPUR,Madathukulam,2017-12-03T17:39:28.31,
RABI,HORTICULTURE,Vegetables,Onion,Seeds and Planting Material,asking about nursery period of onion,"recommended for it varies from 6-10 weeks depending on soil, climate and receipt of rain.",TAMILNADU,TIRUPUR,Madathukulam,2017-12-03T18:48:02.683,
RABI,AGRICULTURE,Others,Others,Weather,Asking about weather report for Udumalpet,recommended for having mostly cloudy weather condition,TAMILNADU,TIRUPUR,Udumalaipettai,2017-12-03T19:16:58.53,
RABI,HORTICULTURE,Plantation Crops,Coconut,Cultural Practices,Asking about Coconut nutrient application for above five year trees,"Recommended for Apply 50 kg Fym + urea kg 1.23 ,super phosphate kg 2.000,potash 1.920 Borax 200g + 5 kg Neem cake /palm /year . If you are going to apply DAP 695 g + 945 g Urea + potash 2 kg +Borax 200g + 5Kg nem cake should apply per tree",TAMILNADU,TIRUPUR,Dharapuram,2017-12-03T19:26:00.093,
RABI,HORTICULTURE,Plantation Crops,Coconut,Nutrient Management,Asking about Coconut nutrient application for above five year trees,"Recommended for Apply 50 kg Fym + urea kg 1.23 ,super phosphate kg 2.000,potash 1.920 Borax 200g + 5 kg Neem cake /palm /year . If you are going to apply DAP 695 g + 945 g Urea + potash 2 kg +Borax 200g + 5Kg nem cake should apply per tree",TAMILNADU,TIRUPUR,Dharapuram,2017-12-03T19:28:52.79,
RABI,AGRICULTURE,Others,Others,Weather,Asking about Thiruppur district rainfall information,Recommended for having moderate rain today,TAMILNADU,TIRUPUR,Udumalaipettai,2017-12-03T19:57:42.21,
RABI,AGRICULTURE,Others,Others,Weather,asking about tirupur weather report,recommended for today have light rain,TAMILNADU,TIRUPUR,Udumalaipettai,2017-12-03T21:32:09.21,
RABI,AGRICULTURE,Others,Others,Nutrient Management,Asked about Bush lab lab seed rate,Recommended for Bush lab lab seed rate : 10 kg / ac,TAMILNADU,TIRUPUR,Madathukulam,2017-12-03T21:41:27.263,
RABI,AGRICULTURE,Others,Others,Nutrient Management,Asked about tomato basal fertilizer management,Recommended for apply urea 63kg + super phosphate 250kg + potash 33kg / ac,TAMILNADU,TIRUPUR,Madathukulam,2017-12-03T21:47:31.757,
RABI,HORTICULTURE,Vegetables,Onion,Nutrient Management,asking about onion top dressing fertilizer management,Recommended for apply urea 24kg / acre,TAMILNADU,TIRUPUR,Dharapuram,2017-12-04T06:22:46.06,
RABI,ANIMAL HUSBANDRY,Animal,POULTRY FARM,Dairy Production,Asking about poultry farm information,"Recommended for contact to Veterinary University Training and Research Centre, Tirupur contact no. 0421- 2248524",TAMILNADU,TIRUPUR,Gudimanlam,2017-12-04T07:51:01.723,
RABI,AGRICULTURE,Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Plant Protection,Asking about Leaf caterpillar management in Bengal,Recommended for spray Thiochloprid 1 ml /litre of water,TAMILNADU,TIRUPUR,Udumalaipettai,2017-12-04T07:58:17.443,
NA,AGRICULTURE,Others,Others,Weather,asking about tirupur weather report,recommended for today have cloudy weather,TAMILNADU,TIRUPUR,Madathukulam,2017-12-04T09:16:24.08,
RABI,HORTICULTURE,Vegetables,Lab Lab,Cultural Practices,Asking about lab lab root rot management,recommended the soil trenching : Carbandazem 2 gm /lit of water,TAMILNADU,TIRUPUR,Kundadam,2017-12-04T09:20:08.277,
RABI,AGRICULTURE,Others,Others,Government Schemes,Asking about Tirupur horticulture office contact number,recommended for the contact number : 0421-2213270/ 0421-2216565,TAMILNADU,TIRUPUR,Kangyam,2017-12-04T10:33:47.53,
RABI,AGRICULTURE,Cereals,Paddy (Dhan),Plant Protection,Asking about leaf folder in paddy,Recommended for spray Fipronil 1.5 ml / litre of water,TAMILNADU,TIRUPUR,Madathukulam,2017-12-04T10:36:03.253,
RABI,AGRICULTURE,Others,Others,Weather,Asking about weather report for Tirupur district,Recommended for today sky have cloudy weather and there is chances of light rain occurring,TAMILNADU,TIRUPUR,Kangyam,2017-12-04T11:36:16.22,
RABI,HORTICULTURE,Vegetables,Tomato,Plant Protection,asking about Fusarium wilt management in tomato,Recommended for soil drench with carbendazim 2 gm / litre of water,TAMILNADU,TIRUPUR,Tirrpur,2017-12-04T13:01:17.387,
RABI,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,asking about sucking pests management in Paddy,Recommended for spray panchagavya 30 ml / litre of water,TAMILNADU,TIRUPUR,Kangyam,2017-12-04T13:16:50.367,
RABI,HORTICULTURE,Vegetables,Lab Lab,Plant Protection,asking bout lablab pod borer management,recommended for spray propinophos â 2 ml/ lit of water + asiphate â 1 gm/ lit of water,TAMILNADU,TIRUPUR,Kundadam,2017-12-04T13:46:58.55,
RABI,HORTICULTURE,Plantation Crops,Coconut,Nutrient Management,Asking about Coconut nutrient application for above five year trees,"Recommended for Apply 50 kg Fym + urea kg 1.23 ,super phosphate kg 2.000,potash 1.920 Borax 200g + 5 kg Neem cake /palm /year . If you are going to apply DAP 695 g + 945 g Urea + potash 2 kg +Borax 200g + 5Kg nem cake should apply per tree",TAMILNADU,TIRUPUR,Kangyam,2017-12-04T14:37:27.823,
RABI,HORTICULTURE,Vegetables,Tomato,"Water Management, Micro Irrigation",asking about weed management for tomato,recommended for take hand weeding when it is necessary,TAMILNADU,TIRUPUR,Kundadam,2017-12-04T14:50:14.87,
RABI,HORTICULTURE,Vegetables,Onion,Nutrient Management,Asking about zinc deficiency in onion,Recommended for foliar spray Zinc sulphate 5gm/lit of water,TAMILNADU,TIRUPUR,Gudimanlam,2017-12-04T15:38:28.957,
RABI,AGRICULTURE,Others,Others,Weather,Asking about Weather forecasting for Thiruppur district,"Recommended for Today and tomorrow having cloudy weather and Possibility of light to medium Rainfall chances (Temperature will be 26 degree Celsius (Â°C), Precipitation Chances (80% ) , Humidity level will be (82%)Wind speed of 24 km / hr.",TAMILNADU,TIRUPUR,Dharapuram,2017-12-04T15:46:51.097,
RABI,AGRICULTURE,Others,Others,Weather,asking about dharapuram weather report,recommended for today have a light rain day,TAMILNADU,TIRUPUR,Dharapuram,2017-12-04T15:50:48.16,
NA,HORTICULTURE,Plantation Crops,Coconut,Market Information,asking about Anthiyur copra market rate,recommended for Anthiyur copra market rate Rs.7272-13089/ quintol,TAMILNADU,TIRUPUR,Dharapuram,2017-12-04T16:37:23.697,
RABI,HORTICULTURE,Plantation Crops,Coconut,Market Information,asking about Anthiyur copra market rate,recommended for Anthiyur copra market rate Rs. 7272-13089/ quintal,TAMILNADU,TIRUPUR,Dharapuram,2017-12-04T16:41:42.76,
RABI,HORTICULTURE,Plantation Crops,Coconut,Market Information,asking about copra market rate,Recommended for copra market rate Rs 10800-12500/quintal,TAMILNADU,TIRUPUR,Dharapuram,2017-12-04T16:45:18.663,
RABI,HORTICULTURE,Vegetables,Ash Gourd (Petha),Nutrient Management,Asked about Ash gourd fertilizer management,recommended for apply 20 gm urea / plant,TAMILNADU,TIRUPUR,Avanashi,2017-12-04T17:28:50.317,
RABI,AGRICULTURE,Others,Others,Weed Management,asking about garden land weed management,recommended for hand weeding is suitable,TAMILNADU,TIRUPUR,Tirrpur,2017-12-04T17:33:54.563,
RABI,AGRICULTURE,Others,Others,Weather,Asking about weather report for Tirupur,recommended for the weather report : today having cloudy weather condition,TAMILNADU,TIRUPUR,Kangyam,2017-12-04T17:56:33.783,
RABI,HORTICULTURE,Vegetables,Onion,Nutrient Management,Asking about top fertilizer management for onion,Recommended for apply urea 27 kg /ac on 30th day after sowing,TAMILNADU,TIRUPUR,Kundadam,2017-12-04T19:52:23.347,
RABI,AGRICULTURE,Millets,Maize (Makka),Nutrient Management,Asking about top fertilizer management in maize,Recommended for apply urea 30 kg /ac on 45 day after sowing,TAMILNADU,TIRUPUR,Kundadam,2017-12-04T19:56:33.227,
RABI,HORTICULTURE,Vegetables,Lab Lab,Plant Protection,Asked about thrips management in lab lab,recommended for spray neem oil + sticking agent 1 ml / litre of water,TAMILNADU,TIRUPUR,Gudimanlam,2017-12-04T20:05:15.073,
RABI,AGRICULTURE,Fodder Crops,fodder sorghum,Seeds,Asking about Forage seeds availability,"Recommended for contact Department of Forage Crops,TNAU, Coimbatore-3 Phone :0422-6611228",TAMILNADU,TIRUPUR,Gudimanlam,2017-12-04T20:08:33.79,
RABI,HORTICULTURE,Fruits,Jack Fruit,Plant Protection,asking about Rhizopus rot in jack,Recommended for spray neem oil 3ml/ lit,TAMILNADU,TIRUPUR,Tirrpur,2017-12-05T08:03:21.63,
RABI,AGRICULTURE,Others,Others,Weather,asking about Tirupur today weather Report,Recommended for Tirupur Today No Rain Fall (0.0 mm),TAMILNADU,TIRUPUR,Dharapuram,2017-12-05T09:27:55.577,
RABI,AGRICULTURE,Others,Others,Weather,asking about Tirupur today weather Report,Recommended for Tirupur Today No Rain Fall (0.0 mm),TAMILNADU,TIRUPUR,Dharapuram,2017-12-05T09:52:50.427,
RABI,AGRICULTURE,Others,Others,Weather,asking about Tirupur today weather Report,Recommended for Tirupur Today No Rain Fall (0.0 mm),TAMILNADU,TIRUPUR,Avanashi,2017-12-05T09:53:57.977,
RABI,AGRICULTURE,Others,Others,Weather,Asking about Tirupur today weather Report,Recommended for Tirupur Today No Rain Fall (0.0 mm),TAMILNADU,TIRUPUR,Avanashi,2017-12-05T10:24:47.62,
RABI,AGRICULTURE,Others,Others,Training and Exposure Visits,asking about Coimbatore horticulture department contact number,Recommended for Coimbatore horticulture department contact number 0422-2453578,TAMILNADU,TIRUPUR,Madathukulam,2017-12-05T10:44:11.97,
RABI,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Market Information,Asking about Azolla seed availability,Recommended to contact Tirupur district veterinary department phone:0421-2248524,TAMILNADU,TIRUPUR,Udumalaipettai,2017-12-05T10:57:58.057,
RABI,AGRICULTURE,Pulses,Black Gram (urd bean),Nutrient Management,Asking about Black gram foliar nutrient spray,Recommended for spray DAP 2 kg /acre at 30 and 45 days after sowing,TAMILNADU,TIRUPUR,Dharapuram,2017-12-05T11:14:15.633,
